Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - 2016 [YR2016]",Access to electricity (% of population) [EG.ELC.ACCS.ZS] - 2016 [YR2016],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD] - 2016 [YR2016],Children out of school (% of primary school age) [SE.PRM.UNER.ZS] - 2016 [YR2016],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS] - 2016 [YR2016],Public private partnerships investment in water and sanitation (current US$) [IE.PPN.WATR.CD] - 2016 [YR2016],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5] - 2016 [YR2016]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS] - 2016 [YR2016]",Population growth (annual %) [SP.POP.GROW] - 2016 [YR2016],"Population, total [SP.POP.TOTL] - 2016 [YR2016]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS] - 2016 [YR2016]","Secondary education, duration (years) [SE.SEC.DURS] - 2016 [YR2016]","Secondary education, teachers [SE.SEC.TCHR] - 2016 [YR2016]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS] - 2016 [YR2016],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD] - 2016 [YR2016]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS] - 2016 [YR2016]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS] - 2016 [YR2016]",Rural population (% of total population) [SP.RUR.TOTL.ZS] - 2016 [YR2016],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT] - 2016 [YR2016]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD] - 2016 [YR2016]",Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2] - 2016 [YR2016],Individuals using the Internet (% of population) [IT.NET.USER.ZS] - 2016 [YR2016]
Liechtenstein,LIE,82.25853659,100,NA,0.32448,NA,NA,NA,NA,0.500480227,37658,100.2519,7,339,NA,NA,NA,NA,85.697,NA,NA,117.6323756,98.09390389
Lithuania,LTU,74.67073171,100,NA,0.10045,18.8941,NA,0.1,NA,-1.270694533,2868231,101.89,8,32633,6.67158258,1978.269356,7.862100124,14.45470047,32.634,11.3688,30299.91893,145.513378,74.37664556
Luxembourg,LUX,82.68536585,100,32755585579,0.23874,NA,NA,0.1,NA,2.155311988,582014,79.07543,7,5405,6.16378558,6374.203539,6.290699959,18.87590027,9.54,5.0624,105082.0735,131.8915037,98.13669867
"Macao SAR, China",MAC,83.854,100,NA,2.21599,NA,NA,NA,96.53849,1.769873208,612836,98.21862,6,2696,NA,NA,1.899999976,4.794499874,0,2.546,105429.2544,321.4517424,81.64298546
Madagascar,MDG,65.931,22.9,8915680227,NA,NA,NA,30.2,NA,2.688183812,24894380,67.57843,7,NA,6.00363747,90.42908953,NA,NA,64.144,111.6784,1507.942283,32.12876245,4.713662899
Malawi,MWI,62.681,11,3653119257,NA,43.92015,NA,28.3,NA,2.709903551,17205289,NA,6,NA,9.83034233,115.156902,NA,NA,83.494,134.9854,1230.416571,41.72202909,11.47
Malaysia,MYS,75.649,100,2.31085E+11,0.17936,33.78704,NA,0.4,93.7347,1.357864517,30684804,100.0088,6,208866,3.80219497,1052.54758,3.440000057,10.46000004,25.16,13.361,28185.53904,141.6506114,78.78830993
Maldives,MDV,78.013,99.96797943,3510483339,2.70706,36.39613,NA,0.3,97.73495,4.428363294,475513,106.9581,5,NA,10.61083995,1628.542879,6.119900227,15.93480015,61.046,8.4072,14055.93816,170.7902219,59.09258997
Mali,MLI,57.987,39.7546196,10603428468,37.86128,39.57861,NA,70.7,NA,2.975295283,17965429,51.04618,6,52033,3.81961944,81.18253226,1.366999984,2.344599962,59.217,171.0826,2131.589703,112.5365904,11.11218649
Malta,MLT,82.45365854,100,NA,1.2194,NA,NA,0.1,NA,2.288615441,455356,101.8052,7,3991,9.29531092,3511.136456,NA,10.69970036,5.52,12.9606,38338.88418,134.252242,78.0751488
Marshall Islands,MHL,NA,93.50395966,NA,24.02092,NA,NA,NA,NA,0.514006029,57735,70.85459,6,NA,23.28730052,934.4448806,NA,NA,23.772,NA,3701.799994,NA,29.78777936
Mauritania,MRT,64.208,41.35232162,3033735026,26.51705,55.90347,NA,38.6,NA,2.856110242,4163534,NA,7,7582,4.2410152,163.9174489,NA,NA,48.038,72.6426,3984.21489,86.80541261,18
Mauritius,MUS,74.39487805,97.97086334,10029142683,1.5011,21.64483,NA,0.6,93.15784,0.068723138,1263473,101.0687,7,NA,5.745666,1206.739779,6.813499928,22.79710007,59.09,26.2642,21151.24777,143.755473,52.19132594
Mexico,MEX,74.917,99.5,8.47557E+11,0.65455,32.45208,NA,1.1,94.85962,1.203251329,123333376,103.9694,6,841700,5.46900124,971.8231599,3.858999968,7.665100098,20.423,61.486,18781.84292,90.59237542,59.540446
"Micronesia, Fed. Sts.",FSM,67.471,78.45517731,NA,NA,NA,NA,3.6,NA,1.204888841,110215,NA,6,NA,12.56300745,431.5863848,NA,NA,77.474,14.8504,3370.005239,21.24211768,33.35216255
Moldova,MDA,71.617,100,6843122563,8.45875,22.51997,NA,0.1,NA,-0.060624297,3551954,89.78202,7,24599,8.98095464,480.3830005,4.184999943,11.21969986,57.489,23.0854,6424.371219,93.17465849,70.99999911
Monaco,MCO,NA,100,NA,NA,12.70133,NA,NA,NA,0.92891363,38070,NA,7,NA,1.74986203,3019.134645,6.329999924,26.64999962,0,NA,NA,87.46256895,95.20817797
Mongolia,MNG,69.321,84.32501221,7829859348,0.66065,28.74937,NA,1.3,NA,1.913251831,3056359,92.99312,7,21753,3.8090161,466.6912181,7.235099792,20.78289986,31.703,30.1106,12140.84709,110.1823278,22.2657705
Montenegro,MNE,76.568,100,3883407485,5.42184,NA,NA,0.1,NA,0.023142531,622303,90.39073,8,NA,7.64204428,1333.9299,17.72330093,35.91519928,33.859,10.1164,17866.47225,165.9184968,69.88164684
Morocco,MAR,75.974,99.96437073,89395906583,4.36659,NA,NA,1.9,NA,1.32597922,35126296,95.04204,6,NA,5.83767147,465.6996018,9.300000191,22.23999977,38.64,31.5508,7890.997167,118.1848162,58.27123642
Mozambique,MOZ,58.309,26.11211967,8526326417,9.23356,NA,NA,27.6,NA,2.872120456,27829942,NA,5,31000,5.0661965,61.64512077,NA,NA,65.074,150.7298,1260.873756,53.99077066,17.52123909
Myanmar,MMR,66.205,55.6,57815327503,NA,NA,NA,12.6,75.5512,0.689521233,53045226,87.00088,6,155858,5.08779798,291.0885467,NA,NA,69.918,28.7724,5709.871361,95.3647362,25.07330424
Namibia,NAM,62.625,50.90645599,9572860431,NA,NA,NA,18.3,NA,1.846297158,2358041,NA,NA,NA,9.12250271,969.2581347,23.35180092,44.88299942,52.039,66.698,11200.42788,112.803281,31.03334594
Nauru,NRU,NA,99.42989349,NA,2.80913,NA,NA,NA,NA,4.498486084,13049,131.0185,6,40,11.10191475,1246.30218,NA,NA,0,NA,13982.20157,94.51073986,NA
Nepal,NPL,69.848,90.7,19791952316,1.67128,NA,NA,19.8,NA,0.906849996,27261131,116.8022,7,113385,6.29441655,155.9695883,NA,NA,81.058,67.3106,2641.971128,117.8146017,19.68876384
Netherlands,NLD,81.56097561,100,6.39754E+11,NA,21.22068,NA,0.2,NA,0.53217888,17030314,NA,6,111849.2,10.35932019,5251.241578,6.006299973,10.81540012,9.365,3.92,51338.57326,123.0177086,90.4109589
New Caledonia,NCL,76.96150074,100,NA,NA,NA,NA,NA,NA,1.512006217,276550,NA,NA,NA,NA,NA,NA,NA,30.179,15.4026,NA,NA,NA
New Zealand,NZL,81.61243902,100,1.556E+11,0.95791,26.12523,NA,0.1,NA,2.099356886,4693200,NA,7,35054.38,9.22193561,3664.721546,5.099999905,13.21199989,13.6,20.0018,39122.54213,130.9219373,88.47018635
Nicaragua,NIC,73.86,85.21810913,11163730108,NA,NA,NA,2.2,NA,1.288955673,6303974,NA,5,NA,8.74635494,484.5322902,NA,NA,41.91,86.7808,5400.217904,122.8671311,24.57183396
Niger,NER,61.137,18.89648247,6094463779,36.42953,50.66764,NA,70.8,NA,3.860078795,20788838,71.62694,7,26839,6.22894111,61.43025084,NA,NA,83.71,189.379,984.6831336,35.94148156,4.32275803
Nigeria,NGA,53.541,59.3,3.42185E+11,NA,NA,NA,68.6,NA,2.627702662,185960289,NA,6,NA,3.64671499,213.7372371,NA,NA,51.317,109.274,5882.98734,82.99740158,25.67
North Macedonia,MKD,75.498,100,8308174548,NA,NA,NA,0.1,NA,0.068123807,2080745,NA,8,NA,6.34410858,934.575011,23.72439957,48.23020172,42.437,16.1822,14813.35745,98.54624045,72.15681447
Northern Mariana Islands,MNP,NA,100,NA,NA,NA,NA,NA,NA,0.728782877,56188,NA,NA,NA,NA,NA,NA,NA,8.557,NA,NA,NA,NA
Norway,NOR,82.40731707,100,3.07438E+11,0.11047,22.83837,NA,0.2,NA,0.880969815,5234519,100.8554,6,50972.48,10.50063009,6203.454703,4.678899765,11.15190029,18.515,5.3206,58138.43771,109.1149238,97.29820367
Oman,OMN,77.142,100,45631098328,0.12104,NA,NA,0.1,94.89999,4.845614386,4479219,103.6481,6,NA,4.29254957,2826.846956,3.269999981,13.71000004,17.5,13.4434,42375.54543,153.2914555,76.84539047
Pakistan,PAK,66.77,71.41359711,2.7927E+11,27.83319,NA,NA,19.6,NA,2.084320949,203627284,64.95687,7,590003,2.75283024,144.1238241,NA,NA,63.766,39.3426,4975.654395,67.02750435,12.38544676
Palau,PLW,NA,100,NA,NA,NA,NA,NA,NA,0.339079161,17725,NA,6,NA,11.68764783,1891.917323,NA,NA,21.225,NA,18531.53966,NA,NA
Panama,PAN,77.964,96.81897736,47839472409,NA,NA,NA,1.9,NA,1.713624922,4037078,NA,6,23777,7.26068297,1750.298851,3.314599991,8.210599899,32.973,82.8346,23195.81113,127.3636031,54
Papua New Guinea,PNG,63.744,49.4,14312161247,7.33083,NA,NA,16.3,NA,2.002382597,8271760,77.12385,6,14791,1.97579249,92.26734054,NA,NA,86.95,53.4388,4208.78221,45.7218184,9.601538462
Paraguay,PRY,73.836,98.4,29711745242,NA,36.43652,NA,1.5,94.65024,1.323677576,6777872,NA,6,NA,8.02487617,767.7671156,NA,NA,38.974,70.9886,12287.98588,110.4988999,53.40412748
Peru,PER,76.044,94.2,1.57068E+11,0.31672,34.8408,100000000,1.3,94.17367,1.483160681,30926032,104.5289,5,191963,5.14391365,680.9994927,NA,NA,22.461,57.9692,13404.22221,119.4241828,45.46174069
Philippines,PHL,70.802,92.31915283,3.36836E+11,3.31137,NA,488800000,4.2,NA,1.507207616,103663927,103.1346,4,314482,4.38594904,342.286822,2.707799911,7.675000191,53.525,54.779,7784.136699,115.8522806,55.5
Poland,POL,77.85121951,100,3.95609E+11,NA,31.70244,NA,0.1,NA,-0.042985131,37970087,101.7504,6,267777,6.51647873,1784.396984,6.16079998,17.65909958,39.822,11.297,27735.35085,139.5179369,73.3007041
Portugal,PRT,81.12439024,100,1.66375E+11,1.84868,NA,NA,0.2,NA,-0.315459017,10325452,NA,6,79425,9.07636096,2778.415587,11.06620026,27.95299911,35.914,8.9868,31042.00577,112.0724654,70.42356709
Puerto Rico,PRI,79.49497561,100,NA,21.02849,NA,NA,NA,NA,-1.938266646,3406495,NA,6,13753,NA,NA,11.80000019,NA,6.398,32.3972,38383.03576,99.05733105,68.6438072
Qatar,QAT,79.868,100,1.19623E+11,2.65291,NA,NA,0.1,93.1453,3.397360191,2654374,94.74805,6,9582,3.07944355,3926.121037,0.150000006,0.49000001,0.985,10.1912,123573.6308,137.606042,95.12466217
Romania,ROU,75.3097561,100,1.49601E+11,9.65598,NA,NA,0.4,NA,-0.572649651,19702332,91.86003,8,125023,4.98040299,1152.175449,5.901400089,20.60289955,46.1,36.281,23868.0692,115.6782699,59.50395129
Russian Federation,RUS,71.65121951,100,1.03431E+12,0.59348,NA,NA,0.1,NA,0.170244546,144342396,96.14293,7,NA,5.27112755,1329.29242,5.55880022,16.4633007,25.836,21.8432,24072.27793,157.718498,73.09143462
Rwanda,RWA,67.93,29.37,6616792524,0.7744,34.61112,NA,19.3,NA,2.602355764,11668818,69.06014,6,30805,6.76069372,130.380629,NA,NA,82.944,39.4002,1978.270386,76.45612537,20
Samoa,WSM,72.895,99.78393555,678137390,1.35022,37.04896,NA,1.5,NA,0.526740178,194535,110.7066,7,NA,5.53209386,352.799723,NA,NA,81.319,24.759,6407.341199,77.62510602,29.41173011
San Marino,SMR,NA,100,NA,NA,NA,NA,NA,NA,0.694863225,33504,NA,8,NA,6.39562063,3831.99806,6.449999809,27.39999962,3.09,NA,61250.86378,109.1511461,NA
Sao Tome and Principe,STP,69.67,70.0741806,156604295.4,NA,NA,NA,11.4,NA,1.88502548,203227,77.48247,6,936,5.99199802,196.8968792,NA,NA,28.908,95.7772,3189.251813,87.60991404,28
Saudi Arabia,SAU,74.761,100,5.30697E+11,NA,NA,NA,0.1,NA,2.259766669,32442572,115.576,6,NA,5.74181331,3117.233527,5.650000095,24.19000053,16.599,7.9412,54159.80176,147.7417643,74.87927469
Senegal,SEN,67.078,64.5,16112060395,26.46706,31.31751,NA,23.9,NA,2.807361306,14993528,59.85945,7,56844,5.51241197,141.6948615,NA,NA,53.704,74.9002,3351.536617,101.2869961,25.66476804
Serbia,SRB,75.68780488,100,29846515042,0.83144,NA,NA,0.7,98.84151,-0.523694463,7058322,98.83048,8,66286,9.13502874,1322.563548,15.25739956,34.93730164,44.19,15.5176,15615.23211,102.7161171,67.05684137
Seychelles,SYC,74.3097561,100,1095025880,1.72175,30.57084,NA,0.2,NA,1.33763478,94677,112.6462,7,638,3.93610353,1122.563754,3.964900017,11.54370022,44.169,61.9018,27672.51882,158.6636715,56.51470815
Sierra Leone,SLE,53.444,20.3,2595269003,0.511,35.65482,NA,81.3,NA,2.164441213,7328838,68.33249,7,22129,16.53171514,244.0434511,NA,NA,58.772,115.5808,1486.044852,85.67897704,11.77318438
Singapore,SGP,82.84634146,100,2.48754E+11,0.01039,NA,NA,0.1,97.04959,1.297436099,5607283,99.78927,4,15384,4.46958366,4083.751681,4.079999924,9.130000114,0,3.6058,91452.04273,149.6506495,84.45226789
Sint Maarten (Dutch part),SXM,NA,100,NA,NA,NA,NA,NA,NA,2.903978461,39969,NA,5,NA,NA,NA,NA,NA,0,NA,34568.38463,NA,NA
Slovak Republic,SVK,77.16585366,100,70275102574,6.47642,22.21594,NA,0.1,NA,0.12892233,5430798,92.44306,9,40403,7.12513052,2172.16039,9.670200348,22.20929909,46.194,25.04,30895.98943,128.4435529,80.47585728
Slovenia,SVN,81.17560976,100,34461537582,0.46636,28.76522,NA,0.1,NA,0.073197207,2065042,97.90015,7,15351,8.46829514,2772.229776,8.000100136,15.22539997,45.98,3.9668,33183.99737,115.0200317,75.49850426
Solomon Islands,SLB,72.424,58.63657379,854361007.9,NA,NA,NA,6.2,NA,2.669813517,619437,88.32666,7,NA,5.17074913,117.7578748,NA,NA,77.177,78.003,2276.800108,67.24999112,11.00090227
Somalia,SOM,56.324,31.16604233,NA,NA,NA,NA,86.6,NA,2.776253649,14185613,NA,6,NA,NA,NA,NA,NA,56.184,102.1432,NA,46.89983586,1.88
South Africa,ZAF,63.153,84.2,2.39005E+11,NA,NA,NA,13.7,NA,1.464829214,56203654,87.25533,5,192359,8.1098146,1071.347104,26.55069923,53.37149811,34.659,68.7216,13247.65048,146.6221873,54
South Sudan,SSD,57.12,22.01080132,NA,NA,36.35943,NA,63.3,NA,1.084594613,10832512,NA,6,NA,NA,NA,NA,NA,80.908,65.2468,1811.677392,24.92495281,6.679728051
Spain,ESP,83.32926829,100,1.02351E+12,0.95535,26.93569,NA,0.2,98.25051,0.083369566,46483569,101.2097,6,286786,8.97038932,3259.802775,19.63470078,44.43629837,20.16,7.9744,36715.84531,110.480234,80.56133294
Sri Lanka,LKA,76.482,95.75769043,73716448265,0.93993,34.89671,NA,1.2,92.3869,1.104983619,21203000,101.1093,8,150320,3.89324108,491.4933648,4.242499828,21.04770088,81.689,21.1102,12359.34586,122.7200854,16.4
St. Kitts and Nevis,KNA,NA,100,NA,1.0811,NA,NA,NA,NA,0.82079272,51625,98.08482,5,527,5.67183165,1479.570854,NA,NA,69.21,NA,29778.61885,148.3447942,76.81767491
St. Lucia,LCA,75.752,98.06130219,1321496302,1.35713,26.37935,NA,0.6,NA,0.500070651,180024,95.49051,5,1077,5.30656361,677.4015625,21.26269913,46.23690033,81.442,41.2616,12910.98609,98.12469449,46.72907806
St. Martin (French part),MAF,79.62195122,100,NA,NA,NA,NA,NA,NA,0.575617178,36065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,VCT,72.193,99.90895081,720740495.7,0.78128,37.51336,NA,1.3,NA,0.28452905,109459,98.73208,5,706,3.56292208,409.1400582,NA,NA,48.627,50.1176,11496.98535,102.9143332,20.68943522
Sudan,SDN,64.663,52.87844467,74897810528,40.82458,NA,NA,17.3,NA,2.398807904,39847440,59.83708,5,NA,5.6648529,297.8559082,NA,NA,65.879,67.196,4703.856808,69.78439192,14.09999994
Suriname,SUR,71.358,95.96812439,1847823561,9.43366,NA,NA,2,NA,1.022222701,564888,88.04,7,NA,6.06415279,907.6043907,NA,NA,33.96,62.422,14622.05054,142.8391115,45.4
Sweden,SWE,82.30731707,100,4.33866E+11,0.14657,24.1059,NA,0.2,NA,1.256453985,9923085,105.2293,6,66363,10.93479344,5386.734023,6.989999771,18.93490028,13.148,5.1434,49084.06554,127.5231707,89.65094761
Switzerland,CHE,83.60243902,100,5.36476E+11,0.01341,28.94818,NA,0.1,NA,1.092031174,8373338,96.82687,7,62387,12.24760438,7867.394505,4.917900085,8.583600044,26.261,2.911,64215.86026,134.1553264,89.13468774
Syrian Arab Republic,SYR,70.315,89.72550201,NA,NA,NA,NA,3.7,NA,-3.066273746,17453933,NA,6,NA,NA,NA,NA,NA,47.165,39.5312,NA,76.43527339,31.86962727
Tajikistan,TJK,70.397,99.88729095,7080031421,1.85199,NA,NA,2.7,NA,2.448490246,8663579,95.38155,7,NA,6.99849461,208.5064842,NA,NA,73.149,55.7464,3006.511141,108.5001937,20.47
Tanzania,TZA,63.844,32.8,43982753239,15.43952,NA,NA,38.4,NA,3.000522906,53050790,61.57209,6,113409,4.13992059,111.9788427,NA,NA,67.667,119.34,2926.328043,75.48495237,13
Thailand,THA,76.403,100,3.15761E+11,NA,NA,NA,3.5,NA,0.373052587,68971331,NA,6,246711,3.71143463,635.021796,NA,NA,51.552,46.239,16961.26557,173.5054814,47.50496562
Timor-Leste,TLS,68.735,76.5,1380103428,5.42296,NA,NA,9.9,NA,1.903194981,1219288,99.2806,6,NA,4.02059179,121.6757726,4.657299995,13.19209957,70.15,34.7982,8168.746889,122.3766657,25.24624959
Togo,TGO,60.22,47.37870026,3515112618,8.05022,64.06315,NA,41.6,NA,2.518741857,7509952,92.71515,7,NA,6.61568574,99.90314053,NA,NA,59.372,89.6202,1620.703081,73.30838776,11.31
Tonga,TON,70.607,97.02,367900734.7,NA,NA,NA,1.4,NA,0.348663646,101133,NA,7,NA,5.26385403,311.4281356,NA,NA,76.778,15.05,6092.258366,79.10375446,39.95
Trinidad and Tobago,TTO,73.1,100,18779321835,NA,NA,NA,0.1,NA,0.52665947,1377564,NA,5,NA,6.5104014,2180.523437,2.972199917,7.077199936,46.75,31.033,31588.43864,157.223424,73.29694122
Tunisia,TUN,76.115,100,32159216689,NA,NA,NA,1,NA,1.10299623,11303946,99.01363,7,NA,6.95195517,806.3436155,15.51420021,NA,31.654,7.7908,11743.4899,126.3459615,49.59999484
Turkey,TUR,76.86,100,7.21011E+11,5.85389,NA,NA,0.3,96.16733,1.632250641,79821724,NA,8,NA,4.3143198,1089.245025,10.83860016,19.48110008,25.866,27.4958,26150.3998,94.02943867,58.34773401
Turkmenistan,TKM,67.835,100,NA,NA,NA,NA,4,NA,1.729432997,5662372,NA,8,NA,6.61802128,1116.859985,NA,NA,49.272,24.8254,16895.47614,151.4384088,17.99032446
Turks and Caicos Islands,TCA,NA,100,NA,NA,NA,NA,NA,NA,1.593637256,36559,NA,5,NA,NA,NA,NA,NA,7.483,NA,22809.20614,NA,NA
Tuvalu,TUV,NA,99.66522217,NA,11.84298,NA,NA,NA,NA,1.128841946,11225,84.77366,7,134,15.45402053,601.0271914,8.489100456,20.6378994,39.355,NA,3727.711339,67.70601336,46.00915151
Uganda,UGA,61.986,26.7,16513878097,NA,NA,NA,31.6,NA,3.65264431,39647506,54.74301,6,NA,6.16503174,117.1106969,NA,NA,77.376,121.4464,1908.300268,57.60142849,21.87617046
Ukraine,UKR,71.47634146,100,79362771055,NA,19.63951,NA,0.3,NA,-0.33138051,45004645,NA,7,330532,6.72703787,534.1910641,9.350000381,22.95000076,30.846,24.5594,8289.707288,135.1956556,53
United Arab Emirates,ARE,77.47,100,3.31991E+11,0.59811,NA,NA,0.1,NA,1.053281129,9360980,NA,7,46237,3.51684955,2546.187603,1.635501981,NA,14.035,8.5908,72386.09047,212.6389865,90.60000732
United Kingdom,GBR,81.15609756,100,2.25848E+12,0.34792,32.32674,NA,0.2,NA,0.714030265,65595565,100.8826,7,392953.3,9.7623484,4177.815131,4.813199997,12.99199963,17.114,14.3918,42977.22065,119.0555562,94.77580063
United States,USA,78.53902439,100,1.59851E+13,0.35997,NA,NA,0.2,NA,0.7234012,323071342,NA,6,NA,17.07341533,9869.742382,4.86920023,10.42720032,18.138,21.4754,57904.20196,122.5578619,85.54442129
Uruguay,URY,77.498,99.7,45689841164,0.00014,23.55671,NA,0.4,98.56147,0.354674156,3424132,104.6962,6,NA,9.06075776,1958.900218,7.840600014,23.78089905,4.856,59.1122,21820.25901,149.4317533,66.4
Uzbekistan,UZB,71.171,100,61748854136,0.68183,NA,NA,0.4,99.98657,1.738849262,31847900,96.81922,8,374585,6.33520937,416.9039816,5.159999847,NA,49.35,23.79,6348.102008,73.99520784,46.79128694
Vanuatu,VUT,70.021,57.82,705192141.2,NA,NA,NA,10.4,NA,2.620904941,278330,NA,7,NA,3.69175091,116.0924795,NA,NA,74.938,50.0584,2996.18348,78.54094061,24
"Venezuela, RB",VEN,72.405,99.96759796,NA,8.14362,NA,NA,1.4,97.12709,-0.786447681,29846179,94.0508,5,NA,3.21708435,NA,NA,NA,11.835,85.8336,NA,92.46141578,60
Vietnam,VNM,75.172,100,1.71088E+11,NA,NA,88900000,1.6,NA,1.032286623,93638724,105.964,7,NA,5.65919354,356.2796547,2.083400011,7.427400112,65.49,31.9554,6365.289485,128.7907855,53
Virgin Islands (U.S.),VIR,79.26829268,100,NA,NA,NA,NA,NA,NA,-0.185856387,107510,NA,NA,NA,NA,NA,NA,NA,4.52,32.259,NA,NA,59.6083158
West Bank and Gaza,PSE,73.589,100,NA,3.9658,NA,NA,NA,96.93023,2.246105276,4367088,97.05693,8,37333,NA,NA,27.07519913,42.13389969,24.372,54.3712,4967.187882,80.10067188,61.17838483
"Yemen, Rep.",YEM,66.087,76.06681061,34574695417,15.60336,NA,NA,10.2,NA,2.498247034,27168210,72.30039,6,NA,NA,NA,NA,NA,64.606,61.816,2827.691023,60.48634124,24.57920836
Zambia,ZMB,62.464,35.21650696,15908313911,NA,NA,NA,34.9,NA,3.003345679,16363507,NA,5,NA,4.47720737,175.1783521,NA,NA,57.562,123.4288,3998.004435,73.43823048,25.50657885
Zimbabwe,ZWE,60.294,39.89234543,15554736218,NA,NA,NA,24.6,NA,1.549758816,14030390,NA,6,NA,9.41366844,185.0482819,NA,NA,67.704,90.6766,2687.385429,91.79345804,23.11998904
Arab World,ARB,71.43649684,89.67868506,2.13918E+12,14.97902,NA,NA,7.416115164,73.69399,2.019086879,404024433,85.12254,NA,2189453,4.89162786,1014.559222,9.598338202,NA,41.65472472,47.50548913,16911.01781,103.1907993,41.48747671
Caribbean small states,CSS,73.39595639,97.67922588,56314835425,7.78586,NA,NA,0.915753071,NA,0.653179386,7269386,91.14359,NA,35790.7,6.121274682,950.4204528,10.3913929,25.70665062,49.09360741,52.83205438,15537.6712,116.6999501,52.95321095
Central Europe and the Baltics,CEB,76.98893983,100,1.05055E+12,4.42888,NA,NA,0.177176424,98.99005,-0.255097557,102994343,97.44619,NA,742105,6.677070748,1779.375529,6.48936775,17.69296208,37.81552091,19.86873567,27331.90058,125.8114519,71.34198079
Early-demographic dividend,EAR,70.01206579,87.3188043,NA,6.08201,NA,NA,13.46452836,78.57369,1.35454711,3165142287,92.33046,NA,13500000,4.989721306,431.7556505,NA,NA,55.67223218,38.68420364,9298.119281,95.31298781,30.16674985
East Asia & Pacific,EAS,75.63562149,97.26756919,1.77502E+13,3.32154,NA,1527870000,2.069932991,95.25384,0.685904681,2298514046,93.75753,NA,10400000,6.640108382,975.2112902,NA,NA,42.67854085,20.7301823,17001.15742,109.770569,53.18742089
East Asia & Pacific (excluding high income),EAP,74.75561418,96.97225607,1.04247E+13,3.39933,NA,1527870000,2.225841464,95.52339,0.73173985,2053116851,93.37515,NA,9270476,4.778067449,647.3767173,NA,NA,46.31840026,22.22011503,13840.76768,107.4057964,48.72880783
East Asia & Pacific (IDA & IBRD countries),TEA,74.79361457,97.66188216,1.0405E+13,3.42796,NA,1527870000,2.236148945,95.46849,0.734759218,2027771091,93.28137,NA,9148543,4.778223824,647.387596,NA,NA,46.41631841,22.53080615,13987.04767,108.5485484,48.72880783
Euro area,EMU,81.94592967,100,9.86078E+12,1.02885,NA,NA,0.289158374,NA,0.319099613,340616924,95.12383,NA,2451029,10.22042566,4272.50756,10.02980587,23.98365472,23.44569562,6.893647809,42771.32834,121.3250123,77.98945493
Europe & Central Asia,ECS,77.58798224,99.99889786,1.67701E+13,2.1467,NA,NA,0.303721904,98.25469,0.475391801,911812364,96.76053,NA,7008295,9.379432193,2698.025823,8.067717278,20.24784217,28.19440552,17.64146802,31692.96596,124.0171886,72.44627768
Europe & Central Asia (excluding high income),ECA,73.05881307,99.9975693,2.39009E+12,3.58037,NA,NA,0.366263817,98.98786,0.612612813,413361214,96.54248,NA,3465893,5.212943801,1027.567046,7.463567816,19.51332133,33.40377367,27.18529382,19482.47932,126.4265032,62.5179342
Europe & Central Asia (IDA & IBRD countries),TEC,73.50378222,99.99779419,2.8272E+12,3.53095,NA,NA,0.341529854,98.96905,0.545500585,455505650,96.89694,NA,3785513,5.419100885,1097.142406,7.397599618,19.4594014,34.0347134,25.90521133,20216.62902,127.3224748,63.51476431
European Union,EUU,80.97470527,100,1.3692E+13,1.47668,NA,NA,0.258595084,NA,0.294466988,511218529,96.66967,NA,3588445,9.932248923,3846.30005,8.540047934,21.0564033,24.76669255,10.10931047,40228.81252,121.7727308,79.23845795
Fragile and conflict affected situations,FCS,62.81486122,52.1980767,6.21523E+11,21.80215,NA,NA,33.7341068,62.50688,2.229955169,493290951,69.01254,NA,1602134,5.019832639,162.2268541,NA,NA,59.29340394,88.64195197,4416.253187,68.46414365,17.13823905
Heavily indebted poor countries (HIPC),HPC,62.3232893,41.17527239,5.33826E+11,18.15597,NA,NA,41.11049347,61.19566,2.821060628,738387254,65.78729,NA,1969678,5.405155172,127.5193337,NA,NA,64.9109196,103.5626598,2320.205029,65.9713315,15.3506985
High income,HIC,80.64039254,99.9881931,4.0613E+13,1.13937,NA,NA,0.297733887,NA,0.589552311,1198350350,98.6931,NA,7186258,12.58844942,5600.073457,6.195844056,14.80849223,19.02340137,13.26073984,46977.92905,124.7652413,84.16797688
