Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - 2016 [YR2016]",Access to electricity (% of population) [EG.ELC.ACCS.ZS] - 2016 [YR2016],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD] - 2016 [YR2016],Children out of school (% of primary school age) [SE.PRM.UNER.ZS] - 2016 [YR2016],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS] - 2016 [YR2016],Public private partnerships investment in water and sanitation (current US$) [IE.PPN.WATR.CD] - 2016 [YR2016],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5] - 2016 [YR2016]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS] - 2016 [YR2016]",Population growth (annual %) [SP.POP.GROW] - 2016 [YR2016],"Population, total [SP.POP.TOTL] - 2016 [YR2016]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS] - 2016 [YR2016]","Secondary education, duration (years) [SE.SEC.DURS] - 2016 [YR2016]","Secondary education, teachers [SE.SEC.TCHR] - 2016 [YR2016]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS] - 2016 [YR2016],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD] - 2016 [YR2016]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS] - 2016 [YR2016]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS] - 2016 [YR2016]",Rural population (% of total population) [SP.RUR.TOTL.ZS] - 2016 [YR2016],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT] - 2016 [YR2016]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD] - 2016 [YR2016]",Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2] - 2016 [YR2016],Individuals using the Internet (% of population) [IT.NET.USER.ZS] - 2016 [YR2016]
Cambodia,KHM,68.977,76.8398819,16645766999,7.02104,NA,NA,6.5,NA,1.565227051,15766293,92.41138,6,NA,6.08196009,228.5708677,0.716199994,1.114899993,77.418,49.9048,3742.958793,126.3169742,32.39845171
Cameroon,CMR,58.063,60.10734558,27449551086,4.97845,NA,NA,45.2,NA,2.660494609,23926539,73.39319,7,114601,4.6902491,169.2888215,NA,NA,44.821,108.8318,3546.54456,78.22900593,23.20297197
Canada,CAN,82.1422439,100,1.235E+12,0.04413,NA,NA,0.4,NA,1.132348655,36109487,NA,6,NA,10.53465477,4718.296818,6.998899937,13.10319996,18.7,9.0084,45011.64317,84.5231216,91.16
Cayman Islands,CYM,NA,100,NA,NA,NA,NA,NA,NA,1.359711357,62569,NA,6,NA,NA,NA,NA,NA,0,NA,70049.98371,152.8808196,79
Central African Republic,CAF,51.593,27.12771225,1374561692,NA,NA,NA,82.1,NA,0.985894486,4537687,40.87417,7,3433,4.28252151,29.9077719,NA,NA,59.382,130.9522,789.1651917,27.51062987,4
Chad,TCD,53.438,10.11441898,8300660905,26.48131,NA,NA,101,22.31155,3.143959589,14561666,41.32026,7,19721,4.5381013,94.95477954,NA,NA,77.323,164.516,2012.817316,38.35901264,5
Channel Islands,CHI,82.6,NA,NA,NA,NA,NA,NA,NA,0.9256539,166923,NA,NA,NA,NA,NA,NA,NA,69.07,7.2438,NA,NA,NA
Chile,CHL,79.779,100,1.95844E+11,3.06315,28.08302,NA,0.2,NA,1.325201606,18209068,95.48255,6,81316,8.52893972,2002.008384,6.738200188,15.98169994,12.578,43.602,22874.14942,127.972519,83.55858602
China,CHN,76.21,100,8.49807E+12,NA,NA,950170000,0.6,NA,0.541478512,1378665000,NA,6,6219580,4.98188075,761.4878559,NA,NA,43.264,7.5834,15513.27304,96.52661691,53.2
Colombia,COL,76.732,98.4,2.35762E+11,4.57531,35.98056,NA,0.8,94.65385,1.360060673,48171392,101.7113,6,182714,5.91234407,829.8029221,8.691800117,17.5007,19.892,67.9844,14259.6093,121.8160055,58.13649357
Comoros,COM,63.7,77.42182159,956273334.8,NA,NA,NA,50.7,NA,2.310060155,795592,NA,7,NA,7.63108978,115.8463352,NA,NA,71.381,67.17,2689.060126,57.11331939,7.938322771
"Congo, Dem. Rep.",COD,59.655,17.97540092,28552802601,NA,NA,NA,59.8,77.04268,3.282914628,78789127,NA,6,NA,3.87116143,34.48820942,NA,NA,56.693,125.2448,868.6133562,36.66662914,6.20997406
"Congo, Rep.",COG,63.556,61.73005295,5356244483,NA,NA,NA,38.7,NA,2.539585634,4980999,NA,7,NA,4.63481785,263.2898074,NA,NA,33.999,113.4524,5833.995644,108.8938839,8.121949323
Costa Rica,CRI,79.738,99.5,50986548361,1.45387,34.0248,NA,0.9,NA,1.057570381,4899345,97.32091,5,36355,7.55572353,1248.547928,NA,NA,22.265,54.7214,16278.6019,170.0362804,65.88044919
Cote d'Ivoire,CIV,56.567,64.3,33406005292,12.98358,44.45114,NA,47.2,NA,2.536099761,23822714,64.16321,7,66852,4.40362075,162.6449615,2.59920001,3.884299994,50.119,118.9842,3665.550486,115.2314132,41.20781493
Croatia,HRV,78.02195122,100,41306883692,1.59305,NA,NA,0.1,NA,-0.698383457,4174349,101.02,8,51843,7.18008037,1705.207618,13.10340023,31.27059937,43.597,9.1792,24524.48405,104.888678,72.69726967
Cuba,CUB,78.607,99.64740753,NA,5.46626,NA,NA,1,NA,0.091156671,11335109,92.82561,6,88441,12.19122021,2457.668045,NA,NA,23.07,52.0242,NA,35.18185629,42.97867519
Curacao,CUW,77.7195122,100,NA,NA,NA,NA,NA,NA,1.060316441,159664,NA,6,NA,NA,NA,NA,NA,10.728,29.3708,27679.64479,115.8905198,61.85551074
Cyprus,CYP,80.513,100,17432344289,NA,NA,NA,0.3,NA,0.789478236,1170187,NA,6,7000,6.87966475,2270.831744,12.94979954,29.05979919,33.119,4.6978,33682.47908,133.4172747,75.9002054
Czech Republic,CZE,79.02682927,100,1.41116E+11,0.33079,13.23953,NA,0.2,NA,0.192048416,10566332,97.06747,8,NA,7.14959908,2484.633529,3.951400042,10.50599957,26.43,11.728,35230.52246,117.5742832,76.4811987
Denmark,DNK,80.85365854,100,2.63077E+11,0.01017,NA,NA,0.3,NA,0.780392644,5728010,103.8827,6,NA,10.35004017,5092.980309,6.180699825,12.00030041,12.358,4.1856,50694.19219,122.300966,96.96778525
Djibouti,DJI,65.064,58.65936661,1365240533,42.61848,NA,NA,31.3,NA,1.640637851,929112,67.35251,7,2580,3.50192451,122.0756057,NA,NA,22.472,19.4152,NA,37.15870638,13.13491511
Dominica,DMA,NA,100,443584755.4,0.95625,NA,NA,NA,NA,0.174047346,71307,113.9267,5,556,5.30393975,580.6576705,NA,NA,30.12,NA,11287.57817,110.008835,67.03
Dominican Republic,DOM,73.471,98.9,64920856409,4.57933,NA,NA,2.2,93.77846,1.122509257,10397743,99.15803,6,NA,6.16130052,936.82159,NA,NA,20.564,94.9256,15613.14817,83.75022036,63.87086474
Ecuador,ECU,76.365,98.7,82378656370,1.07116,NA,NA,0.6,94.35023,1.70688086,16491115,103.5557,6,87924.2,8.38714107,942.8866596,4.597000122,10.34589958,36.466,79.9576,11222.07849,84.18035505,54.06292473
"Egypt, Arab Rep.",EGY,71.482,100,3.03119E+11,0.51305,NA,NA,2,NA,2.14522549,94447072,96.90645,6,591205,4.63781726,516.3431545,12.40670013,30.80599976,57.268,54.207,11294.24924,103.540997,41.24806709
El Salvador,SLV,72.644,96,20279516164,10.42136,47.18061,NA,2,88.14177,0.489210768,6356143,92.97918,6,19508.7,6.95775683,599.5487168,4.418300152,9.797800064,29.499,70.2702,7686.02636,151.6211797,28.99707305
Equatorial Guinea,GNQ,57.713,66.88643646,5927048903,NA,NA,NA,22.3,NA,3.911232347,1215179,NA,6,NA,3.37653274,838.744272,NA,NA,28.862,157.8528,26232.13378,47.37158281,23.77999997
Eritrea,ERI,65.111,47.15074921,NA,NA,NA,NA,45.6,NA,NA,NA,NA,7,6435,2.95931347,55.33103421,NA,NA,NA,54.1058,NA,14.9856792,1.17711872
Estonia,EST,77.64146341,100,19519133536,2.63127,24.96741,NA,0.1,NA,0.029112226,1315790,96.44263,6,9133,6.68368438,1987.718156,6.761700153,13.40330029,31.437,9.3846,30897.54691,144.1630523,87.24023275
Eswatini,SWZ,56.962,69.7984848,3274717283,15.62866,NA,NA,27.9,NA,0.896297661,1113984,95.14886,5,6966,7.69694547,663.2525798,22.71769905,47.06259918,76.541,77.318,10237.8624,89.31801432,28.57352278
Ethiopia,ETH,65.482,42.9,54412916206,NA,NA,NA,43.7,NA,2.708106304,103603501,NA,6,NA,3.97401588,69.52478888,NA,NA,80.134,68.9772,1746.16277,49.44236323,15.36692386
Faroe Islands,FRO,82.19756098,100,NA,NA,NA,NA,NA,NA,0.253575128,48173,NA,NA,NA,NA,NA,NA,NA,58.223,NA,NA,113.1069271,95.10868167
Fiji,FJI,67.175,96.67555237,3982301631,0.5569,NA,NA,2.9,NA,0.433308394,872399,107.0184,7,NA,3.46146795,313.1713121,4.319499969,15.39869976,44.765,48.663,9683.624529,119.7485325,46.50697831
Finland,FIN,81.42926829,100,1.97041E+11,0.72933,20.51118,NA,0.1,NA,0.287421402,5495303,100.885,6,40768,9.49305799,4112.054234,8.818400383,20.14909935,14.725,6.135,43729.96449,133.9848042,87.70364996
